fhwa_id,name,states,designations,is_all_american_road,is_national_scenic_byway,source_url
81527,Door County Coastal Byway,Wisconsin,All-American Road,True,False,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/81527
76017,East Tennessee Crossing,Tennessee,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/76017
2305,Ebbetts Pass Scenic Byway,California,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2305
2455,Edge of the Wilderness,Minnesota,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2455
73595,Edisto Island National Scenic Byway,South Carolina,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/73595
2065,El Camino Real,New Mexico,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2065
2290,Flaming Gorge - Green River Basin Scenic Byway,Wyoming,All-American Road,True,False,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2290
2008,Flaming Gorge-Uintas National Scenic Byway,Utah,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2008
2095,Flint Hills Scenic Byway,Kansas,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2095
75864,Florida Black Bear Scenic Byway,Florida,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/75864
2555,Florida Keys Scenic Highway,Florida,All-American Road,True,False,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2555
77229,Forest Heritage National Scenic Byway,North Carolina,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/77229
2108,Frontier Pathways Scenic and Historic Byway,Colorado,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2108
60807,George Washington Memorial Parkway,Virginia,All-American Road,True,False,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/60807
2091,Geronimo Trail Scenic Byway,New Mexico,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2091
2483,Glenn Highway,Alaska,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2483
2109,Gold Belt Tour Scenic and Historic Byway,Colorado,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2109
2103,Grand Mesa Scenic and Historic Byway,Colorado,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2103
2243,Grand Rounds Scenic Byway,Minnesota,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2243
2488,Great Lakes Seaway Trail,"New York, Pennsylvania",National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2488
2279,Great River Road,"Arkansas, Illinois, Iowa, Kentucky, Louisiana, Minnesota, Mississippi, Missouri, Tennessee, Wisconsin","All-American Road, National Scenic Byway",True,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2279
13548,Gunflint Trail Scenic Byway,Minnesota,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/13548
12395,Haines Highway - Valley of the Eagles,Alaska,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/12395
2260,Harriet Tubman Underground Railroad Byway,Maryland,All-American Road,True,False,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2260
2145,Hells Canyon Scenic Byway,Oregon,All-American Road,True,False,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2145
2460,Highland Scenic Highway,West Virginia,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2460
2240,Historic Bluff Country Scenic Byway,Minnesota,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2240
2141,Historic Columbia River Highway,Oregon,All-American Road,True,False,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2141
2278,Historic National Road,"Illinois, Indiana, Maryland, Ohio, Pennsylvania, West Virginia",All-American Road,True,False,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2278
2489,Historic Route 66,"Arizona, Illinois, New Mexico, Oklahoma, California, Missouri","All-American Road, National Scenic Byway",True,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2489
2598,Hocking Hills Scenic Byway,Ohio,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2598
58611,Illinois River Road,Illinois,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/58611
16199,Indian River Lagoon National Scenic Byway,Florida,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/16199
76130,Indiana's Historic Pathways,Indiana,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/76130
2486,International Selkirk Loop,"Idaho, Washington",All-American Road,True,False,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2486
2061,Jemez Mountain Trail,New Mexico,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2061
2343,Journey Through Hallowed Ground Byway,"Maryland, Pennsylvania, Virginia",National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2343
10465,Kaibab Plateau-North Rim Parkway,Arizona,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/10465
2458,Kancamagus Scenic Byway,New Hampshire,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2458
81500,Katahdin Woods & Waters Scenic Byway,Maine,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/81500
59836,Lake Erie Coastal Ohio Trail,Ohio,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/59836
2456,Lake Tahoe - Eastshore Drive,Nevada,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2456
2479,Lakes to Locks Passage,New York,All-American Road,True,False,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2479
49776,Lariat Loop Scenic and Historic Byway,Colorado,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/49776
2032,Las Vegas Strip,Nevada,All-American Road,True,False,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2032
2348,Lincoln Heritage Scenic Highway,Kentucky,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2348
13750,Lincoln Highway,Illinois,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/13750
81493,Lincoln Highway Heritage Byway,Iowa,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/81493
81508,Lincoln Highway Scenic & History Byway,Nebraska,All-American Road,True,False,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/81508
2187,Loess Hills National Scenic Byway,Iowa,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2187
2001,Logan Canyon Scenic Byway,Utah,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2001
2148,McKenzie Pass-Santiam Pass Scenic Byway,Oregon,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2148
10393,Meeting of the Great Rivers Scenic Route,Illinois,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/10393
2452,Merritt Parkway,Connecticut,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2452
10345,Midland Trail,West Virginia,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/10345
2462,Millstone Valley Scenic Byway,New Jersey,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2462
2211,Minnesota River Valley Scenic Byway,Minnesota,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2211
57185,Mohawk Towpath Byway,New York,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/57185
81504,Mohawk Trail Scenic Byway,Massachusetts,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/81504
2228,Mountains to Sound Greenway - I-90,Washington,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2228
61400,Mt. Hood Scenic Byway,Oregon,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/61400
2285,Natchez Trace Parkway,"Alabama, Mississippi, Tennessee",All-American Road,True,False,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2285
2596,Native American Scenic Byway,"North Dakota, South Dakota",National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2596
2012,Nebo Loop Scenic Byway,Utah,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2012
81515,Newfound Gap Road Byway,"North Carolina, Tennessee",All-American Road,True,False,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/81515
81522,Norris Freeway,Tennessee,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/81522
11185,North Shore Scenic Drive,Minnesota,All-American Road,True,False,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/11185
2043,Northwest Passage Scenic Byway,Idaho,All-American Road,True,False,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2043
10501,Ohio & Erie Canalway,Ohio,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/10501
2286,Ohio River Scenic Byway,"Illinois, Indiana, Ohio",National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2286
11510,Old Canada Road Scenic Byway,Maine,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/11510
81495,Old Frankfort Pike Historic and Scenic Byway,Kentucky,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/81495
81505,Old King's Highway (Route 6A),Massachusetts,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/81505
75866,Ormond Scenic Loop & Trail,Florida,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/75866
2142,Outback Scenic Byway,Oregon,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2142
12834,Outer Banks Scenic Byway,North Carolina,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/12834
2143,Pacific Coast Scenic Byway - Oregon,Oregon,All-American Road,True,False,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2143
68569,Palisades Scenic Byway,New Jersey,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/68569
81561,Palisades Scenic Byway,New York,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/81561
11180,Paul Bunyan Scenic Byway,Minnesota,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/11180
2037,Payette River Scenic Byway,Idaho,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2037
2044,Pend Oreille Scenic Byway,Idaho,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2044
2459,Peter Norbeck Scenic Byway,South Dakota,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2459
81573,Pine Barrens Byway,New Jersey,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/81573
2049,Pioneer Historic Byway,Idaho,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2049
2457,Pyramid Lake Scenic Byway,Nevada,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2457
13830,Rangeley Lakes Scenic Byway,Maine,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/13830
2482,Red River Gorge Scenic Byway,Kentucky,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2482
11290,Red Rock Scenic Byway,Arizona,All-American Road,True,False,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/11290
40532,Religious Freedom Byway,Maryland,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/40532
81518,Revolutionary Heritage Byway,Rhode Island,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/81518
10781,River Road Scenic Byway,Michigan,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/10781
81488,River of Lakes Heritage Corridor,Florida,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/81488
2147,Rogue-Umpqua Scenic Byway,Oregon,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2147
2301,Route 1 - Big Sur Coast Highway,California,All-American Road,True,False,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2301
2475,Route 1 - San Luis Obispo North Coast Byway,California,All-American Road,True,False,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2475
13739,Russell-Brasstown National Scenic Byway,Georgia,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/13739
2101,San Juan Skyway,Colorado,All-American Road,True,False,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2101
81509,Sandhills Journey Scenic Byway,Nebraska,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/81509
2287,Santa Fe Trail,"Colorado, New Mexico",National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2287
2162,Savannah River Scenic Byway,South Carolina,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2162
2020,Scenic Byway 12,Utah,All-American Road,True,False,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2020
2023,Scenic Byway 143 - Utah's Patchwork Parkway,Utah,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2023
81489,Scenic Highway 30A,Florida,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/81489
81484,Scenic Highway of Legends,Colorado,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/81484
13792,Schoodic Scenic Byway,Maine,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/13792
2050,Selma to Montgomery March Byway,Alabama,All-American Road,True,False,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2050
81523,Sequatchie Valley Scenic Byway,Tennessee,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/81523
10390,Seward Highway,Alaska,All-American Road,True,False,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/10390
16406,Sheyenne River Valley Scenic Byway,North Dakota,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/16406
81485,Silver Thread Colorado Scenic & Historic Byway,Colorado,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/81485
50186,Sky Island Scenic Byway,Arizona,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/50186
60646,Skyline Drive,Virginia,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/60646
81501,St. John Valley Cultural Byway/Fish River Scenic Byway,Maine,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/81501
10351,Staunton-Parkersburg Turnpike,West Virginia,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/10351
2231,Stevens Pass Greenway,Washington,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2231
13740,Strait of Juan de Fuca Highway - SR 112,Washington,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/13740
2485,Talimena Scenic Drive,"Arkansas, Oklahoma",National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2485
2057,Talladega Scenic Drive,Alabama,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2057
81503,The Battle Road Scenic Byway,Massachusetts,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/81503
13831,The Energy Loop: Huntington/Eccles Canyons Scenic Byway,Utah,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/13831
12302,The George Parks Highway Scenic Byway,Alaska,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/12302
2302,Tioga Road/Big Oak Flat Road,California,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2302
2119,Top of the Rockies,Colorado,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2119
2102,Trail Ridge Road/Beaver Meadow Road,Colorado,All-American Road,True,False,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2102
2597,Trail of the Ancients,"Colorado, Utah, New Mexico",National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2597
2092,Trail of the Mountain Spirits Scenic Byway,New Mexico,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2092
2094,Turquoise Trail,New Mexico,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2094
2587,Volcanic Legacy Scenic Byway,"California, Oregon",All-American Road,True,False,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2587
13753,Washington Heritage Trail,West Virginia,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/13753
13832,West Cascades Scenic Byway,Oregon,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/13832
2593,Western Heritage Historic Byway,Idaho,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2593
81512,Western Highlands Scenic Byway,New Jersey,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/81512
59011,Wetlands and Wildlife Scenic Byway,Kansas,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/59011
2256,White Mountain Trail,New Hampshire,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2256
2064,White Pass Scenic Byway,Washington,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2064
74696,Whitewater Canal Scenic Byway,Indiana,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/74696
6334,Wichita Mountains Byway,Oklahoma,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/6334
2566,Wilderness Road Heritage Highway,Kentucky,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2566
